SNo,Local Government Area,State,Delivery Days,Delivery Fee
633,Owerri West,Imo State,5,6000
634,Owo,Ondo State,3,3000
635,Oye,Ekiti State,3,3000
636,Oyi,Anambra State,5,6000
637,Oyigbo,Rivers State,5,6000
638,Oyo,Oyo State,1,1000
639,Oyo East,Oyo State,1,1000
640,Oyun,Kwara State,3,3000
641,Paikoro,Niger State,5,6000
642,Pankshin,Plateau State,5,6000
643,Patani,Delta State,3,3000
644,Pategi,Kwara State,3,3000
645,Port Harcourt,Rivers State,5,6000
646,Potiskum,Yobe State,5,6000
647,Qua'an Pan,Plateau State,5,6000
648,Rabah,Sokoto State,5,6000
649,Rafi,Niger State,5,6000
650,Rano,Kano State,5,6000
651,Remo North,Ogun State,3,3000
652,Rijau,Niger State,5,6000
653,Rimi,Katsina State,5,6000
654,Rimin Gado,Kano State,5,6000
655,Ringim,Jigawa State,5,6000
656,Riyom,Plateau State,5,6000
657,Rogo,Kano State,5,6000
658,Roni,Jigawa State,5,6000
659,Sabon Birni,Sokoto State,5,6000
660,Sabon Gari,Kaduna State,5,6000
661,Sabuwa,Katsina State,5,6000
662,Safana,Katsina State,5,6000
663,Sagbama,Bayelsa State,5,6000
664,Sakaba,Kebbi State,5,6000
665,Saki East,Oyo State,1,1000
666,Saki West,Oyo State,1,1000
667,Sandamu,Katsina State,5,6000
668,Sanga,Kaduna State,5,6000
669,Sapele,Delta State,3,3000
670,Sardauna,Taraba State,5,6000
671,Shagamu,Ogun State,3,3000
672,Shagari,Sokoto State,5,6000
673,Shanga,Kebbi State,5,6000
674,Shani,Borno State,5,6000
675,Shanono,Kano State,5,6000
676,Shelleng,Adamawa State,5,6000
677,Shendam,Plateau State,5,6000
678,Shinkafi,Zamfara State,5,6000
679,Shira,Bauchi State,5,6000
680,Shiroro,Niger State,5,6000
681,Shongom,Gombe State,5,6000
682,Shomolu,Lagos State,3,3000
683,Silame,Sokoto State,5,6000
684,Soba,Kaduna State,5,6000
685,Sokoto North,Sokoto State,5,6000
686,Sokoto South,Sokoto State,5,6000
687,Song,Adamawa State,5,6000
688,Southern Ijaw,Bayelsa State,5,6000
689,Suleja,Niger State,5,6000
690,Sule Tankarkar,Jigawa State,5,6000
691,Sumaila,Kano State,5,6000
692,Suru,Kebbi State,5,6000
693,Surulere,Oyo State,1,1000
694,Surulere,Lagos State,3,3000
695,Tafa,Niger State,5,6000
696,Tafawa Balewa,Bauchi State,5,6000
697,Tai,Rivers State,5,6000
698,Takai,Kano State,5,6000
699,Takum,Taraba State,5,6000
700,Talata Mafara,Zamfara State,5,6000
701,Tambuwal,Sokoto State,5,6000
702,Tangaza,Sokoto State,5,6000
703,Tarauni,Kano State,5,6000
704,Tarka,Benue State,5,6000
705,Tarmuwa,Yobe State,5,6000
706,Taura,Jigawa State,5,6000
707,Toungo,Adamawa State,5,6000
708,Tofa,Kano State,5,6000
709,Toro,Bauchi State,5,6000
710,Toto,Nasarawa State,5,6000
711,Chafe,Zamfara State,5,6000
712,Tsanyawa,Kano State,5,6000
713,Tudun Wada,Kano State,5,6000
714,Tureta,Sokoto State,5,6000
715,Udenu,Enugu State,5,6000
716,Udi,Enugu State,5,6000
717,Udu,Delta State,3,3000
718,Udung-Uko,Akwa Ibom State,5,6000
719,Ughelli North,Delta State,3,3000
720,Ughelli South,Delta State,3,3000
721,Ugwunagbo,Abia State,5,6000
722,Uhunmwonde,Edo State,3,3000
723,Ukanafun,Akwa Ibom State,5,6000
724,Ukum,Benue State,5,6000
725,Ukwa East,Abia State,5,6000
726,Ukwa West,Abia State,5,6000
727,Ukwuani,Delta State,3,3000
728,Umuahia North,Abia State,5,6000
729,Umuahia South,Abia State,5,6000
730,Umu Nneochi,Abia State,5,6000
731,Ungogo,Kano State,5,6000
732,Unuimo,Imo State,5,6000
733,Uruan,Akwa Ibom State,5,6000
734,Urue-Offong/Oruko,Akwa Ibom State,5,6000
735,Ushongo,Benue State,5,6000
736,Ussa,Taraba State,5,6000
737,Uvwie,Delta State,3,3000
738,Uyo,Akwa Ibom State,5,6000
739,Uzo Uwani,Enugu State,5,6000
740,Vandeikya,Benue State,5,6000
741,Wamako,Sokoto State,5,6000
742,Wamba,Nasarawa State,5,6000
743,Warawa,Kano State,5,6000
744,Warji,Bauchi State,5,6000
745,Warri North,Delta State,3,3000
746,Warri South,Delta State,3,3000
747,Warri South West,Delta State,3,3000
748,Wasagu/Danko,Kebbi State,5,6000
749,Wase,Plateau State,5,6000
750,Wudil,Kano State,5,6000
751,Wukari,Taraba State,5,6000
752,Wurno,Sokoto State,5,6000
753,Wushishi,Niger State,5,6000
754,Yabo,Sokoto State,5,6000
755,Yagba East,Kogi State,3,3000
756,Yagba West,Kogi State,3,3000
757,Yakuur,Cross River State,5,6000
758,Yala,Cross River State,5,6000
759,Yamaltu/Deba,Gombe State,5,6000
760,Yankwashi,Jigawa State,5,6000
761,Yauri,Kebbi State,5,6000
762,Yenagoa,Bayelsa State,5,6000
763,Yola North,Adamawa State,5,6000
764,Yola South,Adamawa State,5,6000
765,Yorro,Taraba State,5,6000
766,Yunusari,Yobe State,5,6000
767,Yusufari,Yobe State,5,6000
768,Zaki,Bauchi State,5,6000
769,Zango,Katsina State,5,6000
770,Zangon Kataf,Kaduna State,5,6000
771,Zaria,Kaduna State,5,6000
772,Zing,Taraba State,5,6000
773,Zurmi,Zamfara State,5,6000
774,Zuru,Kebbi State,5,6000
